,Name of Movie,Star1,Star2,Star3,Votes,Genre1,Genre2,Genre3,Gross_Collection,Popularity,Certification
950,DragonHeart,Dennis Quaid,Sean Connery,Dina Meyer," 58,013 ",Action,Adventure,Fantasy,Color,"4,129",PG-13
951,Kickboxer,Jean-Claude Van Damme,Dennis Alexio,Dennis Chan," 32,126 ",Action,Sport,Thriller,-,"4,189",R
952,The Angry Birds Movie 2,Jason Sudeikis,Josh Gad,Leslie Jones," 202,332 ",Animation,Action,Adventure,-,"4,215",PG
953,The Taking of Pelham 123,Denzel Washington,John Travolta,Luis Guzmán," 81,711 ",Action,Crime,Thriller,"$65,452,312","4,263",R
954,Star Trek: Nemesis,Patrick Stewart,Jonathan Frakes,Brent Spiner," 132,968 ",Action,Adventure,Sci-Fi,Color,"4,398",PG-13
955,Killer Elite,Jason Statham,Clive Owen,Robert De Niro," 120,601 ",Action,Crime,Thriller,Color,"4,460",R
956,The Jackal,Bruce Willis,Richard Gere,Sidney Poitier," 137,164 ",Action,Crime,Drama,Color,"4,590",R
957,Let's Be Cops,Jake Johnson,Damon Wayans Jr.,Rob Riggle," 77,398 ",Action,Comedy,Crime,-,"4,642",R
958,Star Trek: Insurrection,Patrick Stewart,Jonathan Frakes,Brent Spiner," 90,409 ",Action,Adventure,Sci-Fi,Color,"4,658",PG
959,Snitch,Dwayne Johnson,Susan Sarandon,Jon Bernthal," 75,383 ",Action,Drama,Thriller,Color,"4,689",PG-13
960,The Siege,Denzel Washington,Bruce Willis,Annette Bening," 44,727 ",Action,Thriller,-,Color,"4,719",R
961,Lock Up,Sylvester Stallone,Donald Sutherland,John Amos," 66,000",Action,Crime,Drama,-,"4,754",R
962,Blood Father,Mel Gibson,Erin Moriarty,Diego Luna," 131,695 ",Action,Crime,Drama,-,"4,944",R
963,Daybreakers,Ethan Hawke,Willem Dafoe,Sam Neill," 42,818 ",Action,Horror,Sci-Fi,Color,-,R
964,Kill List,Neil Maskell,MyAnna Buring,Harry Simpson," 58,579 ",Action,Crime,Horror,-,-,Not Rated
965,Live by Night,Ben Affleck,Elle Fanning,Brendan Gleeson," 56,058 ",Action,Crime,Drama,-,-,R
966,Shaft,Samuel L. Jackson,Jessie T. Usher,Richard Roundtree," 64,520 ",Action,Comedy,Crime,-,-,R
967,Basic,John Travolta,Samuel L. Jackson,Connie Nielsen," 49,797 ",Action,Crime,Drama,-,-,R
968,The Rover,Guy Pearce,Robert Pattinson,Scoot McNairy," 56,196",Action,Crime,Drama,Color,-,R
969,Chaos,Jason Statham,Ryan Phillippe,Wesley Snipes," 124,662 ",Action,Crime,Drama,-,-,R
970,Contraband,Mark Wahlberg,Giovanni Ribisi,Kate Beckinsale," 59,241 ",Action,Crime,Drama,Color,-,R
971,Batman: The Killing Joke,Kevin Conroy,Mark Hamill,Tara Strong," 32,802 ",Animation,Action,Crime,-,-,R
972,The Omega Man,Charlton Heston,Anthony Zerbe,Rosalind Cash," 93,481 ",Action,Drama,Sci-Fi,-,-,PG
973,Here Comes the Boom,Kevin James,Salma Hayek,Henry Winkler," 119,391 ",Action,Comedy,Sport,-,-,PG
974,From Paris with Love,John Travolta,Jonathan Rhys Meyers,Kasia Smutniak," 83,040 ",Action,Crime,Thriller,-,-,R
975,Final Fantasy: The Spirits Within,Alec Baldwin,Steve Buscemi,Ming-Na Wen," 49,687 ",Animation,Action,Adventure,Color,-,PG-13
976,Black Death,Eddie Redmayne,Sean Bean,Carice van Houten," 28,266 ",Action,Drama,History,Color,-,R
977,Just Cause,Sean Connery,Laurence Fishburne,Kate Capshaw," 31,224 ",Action,Crime,Drama,Color,-,R
978,How I Live Now,Saoirse Ronan,Tom Holland,George MacKay," 32,176 ",Action,Adventure,Drama,-,-,R
979,The Prophecy,Christopher Walken,Elias Koteas,Virginia Madsen," 59,536 ",Action,Crime,Drama,Black and WhiteColor,-,R
980,Last Man Standing,Bruce Willis,Bruce Dern,William Sanderson," 69,118 ",Action,Crime,Drama,-,-,R
981,Dead Man Down,Colin Farrell,Noomi Rapace,Dominic Cooper," 25,236 ",Action,Crime,Drama,-,-,R
982,Black and Blue,Naomie Harris,Tyrese Gibson,Frank Grillo," 46,364 ",Action,Thriller,-,-,-,R
983,Blood Work,Clint Eastwood,Jeff Daniels,Anjelica Huston," 28,856 ",Action,Crime,Drama,Color,-,R
984,Son of a Gun,Ewan McGregor,Brenton Thwaites,Alicia Vikander," 54,683 ",Action,Crime,Drama,Color,-,R
